

Query number 1:
SELECT students.full_name AS students_full_name, avg(grades.mark) AS average 
FROM grades JOIN students ON students.id = grades.student_id GROUP BY students.id ORDER BY average DESC 
 LIMIT %(param_1)s

 Result:
('David George', 4.34)
('Yvonne Gordon', 4.11)
('April Flowers', 4.08)
('Amy Lamb', 4.0)
('Madison Wang', 4.0)


Query number 2:
SELECT subjects.name AS subjects_name, students.full_name AS students_full_name, avg(grades.mark) AS average 
FROM grades JOIN students ON students.id = grades.student_id JOIN subjects ON subjects.id = grades.subject_id 
WHERE subjects.name = %(name_1)s GROUP BY subjects.id, students.id ORDER BY average DESC 
 LIMIT %(param_1)s

 Result:
('Mathematics', 'Yvonne Gordon', 5.0)


Query number 3:
SELECT subjects.name AS subjects_name, groups.group_sign AS groups_group_sign, avg(grades.mark) AS average 
FROM grades JOIN subjects ON subjects.id = grades.subject_id JOIN students ON students.id = grades.student_id JOIN groups ON groups.id = students.group_id 
WHERE subjects.name = %(name_1)s GROUP BY subjects.id, groups.id

 Result:
('Chemistry', 'A', 3.65)
('Chemistry', 'B', 3.8)
('Chemistry', 'C', 3.49)


Query number 4:
SELECT groups.group_sign AS groups_group_sign, avg(grades.mark) AS average 
FROM grades JOIN subjects ON subjects.id = grades.subject_id JOIN students ON students.id = grades.student_id JOIN groups ON groups.id = students.group_id GROUP BY groups.id ORDER BY groups.group_sign

 Result:
('A', 3.7)
('B', 3.72)
('C', 3.76)


Query number 5:
SELECT lecturers.full_name AS lecturers_full_name, subjects.name AS subjects_name 
FROM subjects JOIN lecturers ON lecturers.id = subjects.lecturer_id 
WHERE lecturers.id = %(id_1)s

 Result:
('Nicholas Walsh', 'Mechanics')
('Nicholas Walsh', 'Physics')


Query number 6:
SELECT groups.group_sign AS groups_group_sign, students.full_name AS students_full_name 
FROM groups JOIN students ON groups.id = students.group_id 
WHERE groups.group_sign = %(group_sign_1)s

 Result:
('C', 'Eric Morales')
('C', 'Donna Schaefer')
('C', 'Pamela Burnett')
('C', 'David Smith')
('C', 'Yvonne Gordon')
('C', 'Shannon Richardson')
('C', 'Kelly Gomez')
('C', 'Andrew Thomas')
('C', 'Tammy Hernandez')
('C', 'Lindsay Andrews')
('C', 'April Flowers')
('C', 'Bradley Mcpherson')
('C', 'Eric Elliott')
('C', 'Amy Lamb')
('C', 'Jose Butler')
('C', 'Stephanie Thomas')
('C', 'Lori Duffy')


Query number 7:
SELECT groups.group_sign AS groups_group_sign, subjects.name AS subjects_name, students.full_name AS students_full_name, grades.mark AS grades_mark 
FROM groups, grades JOIN students ON students.id = grades.student_id JOIN subjects ON subjects.id = grades.subject_id 
WHERE groups.group_sign = %(group_sign_1)s AND subjects.name = %(name_1)s

 Result:
('B', 'Numerical Methods', 'John Butler', 5.0)
('B', 'Numerical Methods', 'John Butler', 3.5)
('B', 'Numerical Methods', 'Eric Morales', 4.0)
('B', 'Numerical Methods', 'Eric Morales', 4.0)
('B', 'Numerical Methods', 'Brian Underwood', 2.0)
('B', 'Numerical Methods', 'Brian Underwood', 4.0)
('B', 'Numerical Methods', 'Ruth Garcia', 2.0)
('B', 'Numerical Methods', 'Ruth Garcia', 3.5)
('B', 'Numerical Methods', 'Ruth Garcia', 4.5)
('B', 'Numerical Methods', 'Donna Schaefer', 2.0)
('B', 'Numerical Methods', 'Tyler Sosa', 5.0)
('B', 'Numerical Methods', 'Tyler Sosa', 3.5)
('B', 'Numerical Methods', 'Tyler Sosa', 2.0)
('B', 'Numerical Methods', 'Tyler Sosa', 2.0)
('B', 'Numerical Methods', 'Tyler Sosa', 4.0)
('B', 'Numerical Methods', 'Elizabeth Pierce', 5.0)
('B', 'Numerical Methods', 'Elizabeth Pierce', 4.5)
('B', 'Numerical Methods', 'Elizabeth Pierce', 4.0)
('B', 'Numerical Methods', 'Pamela Burnett', 2.0)
('B', 'Numerical Methods', 'Pamela Burnett', 2.0)
('B', 'Numerical Methods', 'Pamela Burnett', 2.0)
('B', 'Numerical Methods', 'Monica Adams', 4.0)
('B', 'Numerical Methods', 'Bill Howe', 3.0)
('B', 'Numerical Methods', 'Bill Howe', 5.0)
('B', 'Numerical Methods', 'Christopher Parker', 4.5)
('B', 'Numerical Methods', 'Christopher Parker', 5.0)
('B', 'Numerical Methods', 'Christopher Parker', 4.5)
('B', 'Numerical Methods', 'David George', 4.5)
('B', 'Numerical Methods', 'David George', 4.0)
('B', 'Numerical Methods', 'Yvonne Gordon', 4.0)
('B', 'Numerical Methods', 'Yvonne Gordon', 5.0)
('B', 'Numerical Methods', 'Yvonne Gordon', 4.5)
('B', 'Numerical Methods', 'Yvonne Gordon', 2.0)
('B', 'Numerical Methods', 'Yvonne Gordon', 3.5)
('B', 'Numerical Methods', 'Tammy Moreno', 3.5)
('B', 'Numerical Methods', 'Tammy Moreno', 3.0)
('B', 'Numerical Methods', 'Brianna Baldwin', 4.0)
('B', 'Numerical Methods', 'Brianna Baldwin', 5.0)
('B', 'Numerical Methods', 'Shannon Richardson', 4.5)
('B', 'Numerical Methods', 'Shannon Richardson', 3.5)
